Id	AnswerId	Text0	CreationDate	Text
391979	810461	Get client IP using just JavaScript?. <p>I need to somehow pull the client's IP address using pure JavaScript; no server side code, not even SSI.</p> <p>Any ideas?</p> <p>I'm not against using a free 3rd party script, if someone can suggest one. This is an emergency stop gap until we can deploy new code.</p>	2008-12-24 18:22:30.780	get client ip using just javascript?. i need to somehow pull the client's ip address using pure javascript; no server side code, not even ssi. any ideas? i'm not against using a free 3rd party script, if someone can suggest one. this is an emergency stop gap until we can deploy new code.
18082	1830844	Validate decimal numbers in JavaScript - IsNumeric(). <p>What's the cleanest, most effective way to validate decimal numbers in JavaScript?</p> <p>Bonus points for:</p> <ol> <li>Clarity. Solution should be clean and simple.</li> <li>Cross-platform.</li> </ol> <p>Test cases:</p> <pre><code> 01. IsNumeric('-1') =&gt; true 02. IsNumeric('-1.5') =&gt; true 03. IsNumeric('0') =&gt; true 04. IsNumeric('0.42') =&gt; true 05. IsNumeric('.42') =&gt; true 06. IsNumeric('99,999') =&gt; false 07. IsNumeric('0x89f') =&gt; false 08. IsNumeric('#abcdef')=&gt; false 09. IsNumeric('1.2.3') =&gt; false 10. IsNumeric('') =&gt; false 11. IsNumeric('blah') =&gt; false </code></pre>	2008-08-20 14:21:13.793	validate decimal numbers in javascript - isnumeric(). what's the cleanest, most effective way to validate decimal numbers in javascript? bonus points for:  clarity. solution should be clean and simple. cross-platform.  test cases: 
27928	27943	Calculate distance between two latitude-longitude points? (Haversine formula). <p>How do I calculate the distance between two points specified by latitude and longitude?</p> <p>For clarification, I'd like the distance in kilometers; the points use the WGS84 system and I'd like to understand the relative accuracies of the approaches available.</p>	2008-08-26 12:50:45.647	calculate distance between two latitude-longitude points? (haversine formula). how do i calculate the distance between two points specified by latitude and longitude? for clarification, i'd like the distance in kilometers; the points use the wgs84 system and i'd like to understand the relative accuracies of the approaches available.
31044	31047	"Is there an ""exists"" function for jQuery?. <p>How can I check the existence of an element in jQuery?</p> <p>The current code that I have is this:</p> <pre><code>if ($(selector).length&gt;0) { // Do something } </code></pre> <p>Is there is a more elegant way to approach this? Perhaps a plugin or a function?</p>"	2008-08-27 19:49:41.107	"is there an ""exists"" function for jquery?. how can i check the existence of an element in jquery? the current code that i have is this:  is there is a more elegant way to approach this? perhaps a plugin or a function?"
400212	6055620	"How do I copy to the clipboard in JavaScript?. <p>What is the best way to copy text to the clipboard? (multi-browser)</p> <p>I have tried: </p> <pre><code>function copyToClipboard(text) { if (window.clipboardData) { // Internet Explorer window.clipboardData.setData(""Text"", text); } else { unsafeWindow.netscape.security.PrivilegeManager.enablePrivilege(""UniversalXPConnect""); const clipboardHelper = Components.classes[""@mozilla.org/widget/clipboardhelper;1""].getService(Components.interfaces.nsIClipboardHelper); clipboardHelper.copyString(text); } } </code></pre> <p>but in Internet Explorer it gives a syntax error. In Firefox, it says <code>unsafeWindow is not defined</code>.</p> <p><strong>Edit</strong> A nice trick without flash: <a href=""http://stackoverflow.com/questions/17527870/how-does-trello-access-the-users-clipboard"">How does Trello access the user&#39;s clipboard?</a></p>"	2008-12-30 13:09:05.777	how do i copy to the clipboard in javascript?. what is the best way to copy text to the clipboard? (multi-browser) i have tried:   but in internet explorer it gives a syntax error. in firefox, it says unsafewindow is not defined. edit a nice trick without flash: how does trello access the user&#39;s clipboard?
5223	6700	"Length of a JavaScript object (that is, associative array). <p>If I have a JavaScript associative array, say:</p> <pre><code>var myArray = new Object(); myArray[""firstname""] = ""Gareth""; myArray[""lastname""] = ""Simpson""; myArray[""age""] = 21; </code></pre> <p>Is there a built-in or accepted best practice way to get the length of this array?</p> <p>JavaScript does not have associative arrays -- it only has objects, <em>which can be used as a notion of associative arrays</em>.**</p>"	2008-08-07 19:42:21.060	length of a javascript object (that is, associative array). if i have a javascript associative array, say:  is there a built-in or accepted best practice way to get the length of this array? javascript does not have associative arrays -- it only has objects, which can be used as a notion of associative arrays.**
194397	194399	How can I obfuscate(protect) JavaScript?. <p>I want to make a JavaScript application that's not open source, and thus have two questions:</p> <ol> <li>What's the best way to obfuscate the code?</li> <li>What's the best way to obfuscate the strings themselves within the application (assuming that the answer to #1 does not handle this)?</li> </ol>	2008-10-11 18:17:18.970	how can i obfuscate(protect) javascript?. i want to make a javascript application that's not open source, and thus have two questions:  what's the best way to obfuscate the code? what's the best way to obfuscate the strings themselves within the application (assuming that the answer to #1 does not handle this)? 
85992	86014	How do I enumerate the properties of a JavaScript object?. <p>How do I enumerate the properties of a JavaScript object?</p> <p>I actually want to list all the defined variables and their values, but I've learned that defining a variable actually creates a property of the window object.</p>	2008-09-17 18:10:18.380	how do i enumerate the properties of a javascript object?. how do i enumerate the properties of a javascript object? i actually want to list all the defined variables and their values, but i've learned that defining a variable actually creates a property of the window object.
171251	171256	How can I merge properties of two JavaScript objects dynamically?. <p>I need to be able to merge two (very simple) JavaScript objects at runtime. For example I'd like to:</p> <pre><code>var obj1 = { food: 'pizza', car: 'ford' } var obj2 = { animal: 'dog' } obj1.merge(obj2); //obj1 now has three properties: food, car, and animal </code></pre> <p>Does anyone have a script for this or know of a built in way to do this? I do not need recursion, and I do not need to merge functions, just methods on flat objects.</p>	2008-10-05 00:30:54.833	how can i merge properties of two javascript objects dynamically?. i need to be able to merge two (very simple) javascript objects at runtime. for example i'd like to:  does anyone have a script for this or know of a built in way to do this? i do not need recursion, and i do not need to merge functions, just methods on flat objects.
69913	69984	"Why don't self-closing script tags work?. <p>What is the reason browsers do not correctly recognize:</p> <pre><code>&lt;script src=""foobar.js"" /&gt; &lt;!-- self-closing script tag --&gt; </code></pre> <p>Only this is recognized:</p> <pre><code>&lt;script src=""foobar.js""&gt;&lt;/script&gt; </code></pre> <p>Does this break the concept of XHTML support?</p> <p>Note: This statement is correct at least for all IE (6-8 beta 2).</p>"	2008-09-16 06:52:38.563	why don't self-closing script tags work?. what is the reason browsers do not correctly recognize:  only this is recognized:  does this break the concept of xhtml support? note: this statement is correct at least for all ie (6-8 beta 2).
